Título,Detalles,Puntuación,Enlace
El padrino,"2h 55min|Crimen,Drama","4,8",https://www.sensacine.com/peliculas/pelicula-1628/
La lista de Schindler,"3h 15min|Biopic,Drama,Histórico","4,5",https://www.sensacine.com/peliculas/pelicula-9393/
Cadena perpetua,2h 22min|Drama,"4,3",https://www.sensacine.com/peliculas/pelicula-11736/
El Padrino. Parte II,"3h 20min|Crimen,Drama","3,9",https://www.sensacine.com/peliculas/pelicula-28201/
La vida es bella,"1h 57min|Comedia,Comedia dramática,Drama","4,2",https://www.sensacine.com/peliculas/pelicula-64439/
Gladiator (El gladiador),"2h 35min|Acción,Aventura,Histórico","3,9",https://www.sensacine.com/peliculas/pelicula-24944/
Forrest Gump,"2h 20min|Comedia,Drama,Romántico","4,1",https://www.sensacine.com/peliculas/pelicula-10568/
El Rey León,"1h 29min|Aventura,Animación,Familia","4,5",https://www.sensacine.com/peliculas/pelicula-10862/
El caballero oscuro,"2h 32min|Acción,Suspense","5,0",https://www.sensacine.com/peliculas/pelicula-115362/
Pulp Fiction,"2h 29min|Crimen,Drama","4,6",https://www.sensacine.com/peliculas/pelicula-10126/
